form_id,form_name,field_id,field_key,field_label,mapping_id,page_number,x,y,width,height,font_size,current_is_multiline,recommended_is_multiline,current_mask_background,recommended_mask_background,confidence,reason,dimension_change_recommended,dimension_notes,surrounding_content_risk,review_status,notes
37,FARM AND RANCH CONTRACT,9d8911a8-d341-4dbe-8d9c-3432c106caf9,CONTRACT_BUYER_SUPERVISOR_NAME,Buyer Supervisor Name,015e2341-7b30-4016-810c-ebb4dff03558,11,203.21,360.27,180,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
11,One to Four Residential,a68f94bb-1c06-4b40-b54f-9889c945e80f,property_concerning_full_address,Contract Concerning Property Address,016ad0a6-65d7-4eed-b034-697a4c35b5c6,4,145,31,320,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
38,FARM AND RANCH REAL ESTATE LISTING AGREEMENT - EXCLUSIVE RIGHT TO SELL,980830bf-8d4d-4bbe-8f4d-026453594617,property_county,Property County,023011b5-9a21-4aca-832a-2af9d40e355d,1,204.8,413.9,192,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
44,NOTICE TO PURCHASER OF SPECIAL TAXING OR ASSESSMENT DISTRICT,f5627c3d-5b64-494b-b306-e47383de73e3,txr_1420_bonds_approved_water_sewer_drainage,TXR-1420 Bonds Approved Water Sewer Drainage,0242733d-e9cc-4053-bf24-b2d5a41e407a,1,94.3,569.9,100.9,14,9,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
11,One to Four Residential,f7d78229-f99c-4c11-a5b3-082859eeac15,contract_closing_date,Closing Date,0263d9e9-a1f7-492b-8d8c-aade627aa682,6,300.53,107.93,122.09,13.34,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
47,RESIDENTIAL LEASING AND PROPERTY MANAGEMENT AGREEMENT,73832d80-c1aa-4cf2-b16f-a0316df1f4c4,txr_2201_sale_coordination_fee,Sale Coordination Fee,02798924-6a39-4201-8084-6c36eca5087b,2,201,704,185.6,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
20,Residential Condominium Contract (Resale),35dd64ff-1f22-4b93-afb0-779465316a13,contract_title_objection_use_activity,Title Objection Use Activity,029c937f-eb86-4443-8f62-56e11ee48355,3,208.4,168,344.8,14,,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
15,Residential Lease Listing,f0189495-7057-4a99-9e0a-a8068c3b2a38,lease_animal_violation_daily_charge,Lease Animal Violation Daily Charge,031fc113-6875-4032-9719-c9741aa72102,9,213.55,609.61,39.5,12.31,9,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
20,Residential Condominium Contract (Resale),a68f94bb-1c06-4b40-b54f-9889c945e80f,property_concerning_full_address,Contract Concerning Property Address,0326f9e9-d47d-46ed-a489-8f7b79142cb5,3,120.1,31.6,295.4,14,,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
7,Listing Agreement,998b7869-bc45-4686-a75c-e60cd3581b78,EMPLOYER_RELOCATION_COMPANY,Employer Relocation Company,0351ee67-4061-44a9-8478-a910d4fa5920,8,185.48,204.36,360,14,9,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=0; cap=1; underlineDerived=false
38,FARM AND RANCH REAL ESTATE LISTING AGREEMENT - EXCLUSIVE RIGHT TO SELL,b08bb4a1-95ec-4824-92cc-36a3a0601e90,KNOWN_FINANCIAL_OBLIGATIONS_EXCEPTION,Known Financial Obligations Exception,0355f7e5-df51-4a98-97c5-aa6b2c6927d7,9,251.27,331.41,290,14,9,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=0; cap=1; underlineDerived=false
25,Condominium Resale Certificate,aa92416a-47f0-49d5-954f-f7a99475c9d4,condo_resale_gov_notices_received,Governmental Notices Received,03564333-d557-4fcb-b3bd-44f07733a4ac,1,66,549,482,24,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=2; underlineDerived=false
25,Condominium Resale Certificate,fdf8d406-7b3c-4716-abf2-72f5da79181e,condo_resale_managing_agent_email,Managing Agent Email,0379559f-a77e-497a-b449-ae9ec7e0f3e5,1,67,704,486,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
17,Third Party Financing Addendum,710d9869-5e7d-4d4e-b6dd-fcbcfa60dcf7,txr_1901_conversion_mortgage_loan_in_the_original_principal_amount_of,Conversion Mortgage Loan In The Original Principal Amount Of,040d6433-e76e-4121-8916-a4ef3ec061d5,2,361.2,100.83,31.03,10.64,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
37,FARM AND RANCH CONTRACT,ceaf9445-8db2-4741-8a9a-83578275b3a1,contract_buyer_notice_email,Buyer Notice Email,0431c252-b916-45a3-89bd-4ed6f599a2f6,8,72,640,190,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
38,FARM AND RANCH REAL ESTATE LISTING AGREEMENT - EXCLUSIVE RIGHT TO SELL,b4fa63a8-2107-4fda-b5ec-c06ba3e85884,KNOWN_LIENS_EXCEPTION,Known Liens Exception,04413881-25f3-4f67-bbcc-c7fc91a624a5,9,108,360,462,14,9,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=0; cap=1; underlineDerived=false
12,Addendum for Property Subject to Mandatory Membership in a Property Owners Association,9cba5223-a1cb-4f1a-b0ac-c6eaa4765347,property_hoa_phone,HOA Phone,0480645f-e806-43e1-9af4-3b901e5dc9fd,1,378.4,139.2,193.6,18.4,10,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
34,AMENDMENT TO FARM AND RANCH LISTING - EXCLUSIVE RIGHT TO SELL,c9f7e5c3-48d8-414b-b653-e8691ff9edd1,txr_1422_resume_marketing_date,TXR-1422 E Resume Marketing Date,04a3644c-934a-42df-bfd9-63be0fa6288d,1,82.19,433.36,130,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
15,Residential Lease Listing,f93e9ef9-64e1-435f-9fa9-7a246c8b7607,lease_add_other_document_description,Lease Add Other Document Description,050948b0-11da-495f-be93-5f709eafd075,9,66.28,324.45,480,14,9,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=0; cap=1; underlineDerived=false
13,Amendment to Listing Agreement,fcd1089b-47e1-4f03-ae77-a6582b778e09,AGENT_NAME,Agent Name,05194176-3a04-4ce0-b448-81bd3e3f1da9,1,40.16,660.11,166.15,17.96,10,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
38,FARM AND RANCH REAL ESTATE LISTING AGREEMENT - EXCLUSIVE RIGHT TO SELL,e58a9854-c24d-4564-bc53-d7403f74e90d,txr_1201_res_zoning_held_by_others,TXR-1201 Reservations zoning Held by Others,051dadc7-d98e-443d-be38-1a8689bb642a,2,144.4,579.3,196.6,24,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=2; underlineDerived=false
15,Residential Lease Listing,5da7659d-7ff1-448f-859e-6bdf22cf1507,broker_license_number,Broker License Number,055e8266-8db7-406e-bd98-cace0b7ac8ca,11,228.94,550.85,90,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
11,One to Four Residential,a44a4f4a-e723-49da-8969-bff72780cb7d,CONTRACT_SELLER_NOTICE_EMAIL,Seller Notice Email,058d3e23-eefd-488c-93dd-40078ce38d99,8,375.64,533.73,190,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
20,Residential Condominium Contract (Resale),a44a4f4a-e723-49da-8969-bff72780cb7d,CONTRACT_SELLER_NOTICE_EMAIL,Seller Notice Email,0591654f-146e-4581-bcb7-65fa142adb3e,7,374.2,237.2,169.6,14,,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
12,Addendum for Property Subject to Mandatory Membership in a Property Owners Association,27e50ce0-130e-4640-89d1-0e468e18434e,PROPERTY_ADDRESS,Property Address,05a3bd7d-850c-4e07-9f3a-efbbeb4cb05d,1,36.8,114.4,225.6,17.6,10,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
33,AMENDMENT TO BUYER/TENANT REPRESENTATION AGREEMENT,26afb280-da67-4d4a-8b64-e41f5a6eb892,txr_1505_paragraph_changes_text,TXR-1505 G Paragraph Changes Text,05d1b59e-cb40-4593-b032-1fb85be91ad6,1,70.64,553.55,480,50,9,false,true,false,false,MEDIUM CONFIDENCE,Tall narrative box (~4 lines) without conclusive line geometry; multiline recommended; mask only after visual confirm of printed lines.,false,,Low — no mask recommended.,MEDIUM CONFIDENCE,lines=0; cap=4; underlineDerived=false
38,FARM AND RANCH REAL ESTATE LISTING AGREEMENT - EXCLUSIVE RIGHT TO SELL,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,05d2cb21-0190-4152-8d15-45e6da07bcba,1,78.91,490.03,340.64,13.47,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
35,ANIMAL AGREEMENT,37e7316f-e578-4a4d-932a-5456720af2ec,txr_2004_animal_3_gender,TXR-2004 Animal 3 Gender,05f9f792-66e8-4e1f-9b54-077cc8a0496f,1,481.74,471.72,80,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
25,Condominium Resale Certificate,29b6470d-1abe-4370-947c-518b6a792f2f,condo_resale_transfer_fee_amount_3,Transfer Fee Amount 3,06cc8517-d35d-4dfe-9cea-18bcf19299e0,2,388,201,152,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
47,RESIDENTIAL LEASING AND PROPERTY MANAGEMENT AGREEMENT,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,071d59f5-be00-4cd3-b923-94943b2cba6a,7,204.2,31.4,298.8,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
15,Residential Lease Listing,0b40ecae-ceaf-4dd3-8a61-84679baf7fdd,lease_keybox_last_days,Lease Keybox Last Days,074a6473-ef8e-4909-a547-b667113d58c9,10,228.08,109.86,60,14,9,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
1,Buyer Rep Agreement,b384a0ce-f7c2-42da-8b0b-69f94185b3f1,BUYER_1_PHONE,Buyer 1 Phone,0773a6bf-632f-4cc1-8b97-437bff3e2701,1,115.15,218.75,211.7,12.83,10,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
11,One to Four Residential,12a8aeaa-5a91-40d3-b102-a63b4f4c22d3,CONTRACT_BUYER_BROKERAGE_ADDRESS,Buyer Brokerage Address,0788634d-4c12-488a-b247-2ad40a103dc5,11,103.72,297.34,365,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
35,ANIMAL AGREEMENT,074b89a9-9456-48bf-9fc6-0923e9e3d096,txr_2004_animal_4_gender,TXR-2004 Animal 4 Gender,079b8682-9763-4dd9-aee1-15d5756a1d8d,1,483.02,519.08,80,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
11,One to Four Residential,0183ade4-81c0-4fa2-8e8c-9580f11735ff,contract_natural_resource_lease_termination_days,Natural Resource Lease Termination Days,083391c6-b8d8-4716-9f02-7ea7b99a701a,1,336.79,720,38.54,10.94,9,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
51,Itemization of Security Deposit,aaa1ad24-c64b-4b8a-b95b-49f3f9b890b0,txr_2216_damages_description,TXR-2216 Damages Description,08446e94-1227-4645-83ba-646472836831,1,61.7,381.7,370.4,63.2,9,false,true,false,true,HIGH CONFIDENCE,"Confirmed production problem field: “Damages to the Property, beyond wear and tear (describe)” — large underline-derived narrative block on TXR-2216; needs wrap + white mask over writing lines. Current flags both false.",false,Current 370.4×63.2 (~5 lines) appears sized for the multi-line describe block; confirm it reaches the last printed line without entering the amount column.,"Primary risk: masking or widening into the damages amount column to the right, and/or the next deduction row below. Keep mask strictly inside the description placement.",HIGH CONFIDENCE,lines=0; cap=5; underlineDerived=true; dedicated Itemization damages analysis
15,Residential Lease Listing,246b792a-46ba-4584-9081-7cd749589c03,lease_animal_monthly_rent_increase,Lease Animal Monthly Rent Increase,08ad9d8e-ba52-4a83-b57b-a0f6d9788ca5,9,290.25,563.73,75,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
13,Amendment to Listing Agreement,83a2e473-13f5-4bf9-89fe-2120b591b857,AGENT_LICENSE_NUMBER,Agent License Number,094fddf2-2e12-4533-bb89-d582bcf9097d,1,219.14,658.19,73.13,17.96,10,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
45,NOTICE OF WITHDRAWAL OF OFFER,9159a5e6-78f9-44c9-ad25-0e6f2c10088f,txr_1945_option_a_date,TXR-1945 Option A Date,097a7df4-0a4a-4037-a13b-54b5a77092f3,1,444.7,313,58.4,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=true
47,RESIDENTIAL LEASING AND PROPERTY MANAGEMENT AGREEMENT,fdec20c4-b820-43e7-a2bd-e71625418b46,txr_2201_emergency_contact_name,Emergency Contact Name,098b9db3-fac8-4667-8589-213762cf5cac,7,108.4,562.1,286.6,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
18,Residential Lease,7f820e7f-11a0-4fb6-a177-fbd7c9a797fa,TXR_2001_KEYBOX_AUTHORIZED_LAST_DAYS,Keybox allowed during last X days,09d949f9-6905-4025-b6fa-4f275070c9a9,6,179,573,37,16,9,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
13,Amendment to Listing Agreement,01b76f56-801e-47ea-a71c-737c9df7ce03,listing_amendment_other_fee_text,Other Broker Fee Text,0a541c3f-3c93-4e3b-962d-06a0676f5361,1,104.57,375.47,455,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
20,Residential Condominium Contract (Resale),603c0263-3c4a-4bbe-b132-4215c2a1d41e,contract_condo_association_transfer_charges_cap,Association Transfer Charges Cap,0a8b95d4-c5d1-480d-bdf9-ab7164770b2a,5,340.2,632.8,94.7,14,,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=1; cap=1; underlineDerived=false
8,Request for Info From HOA,21f43339-ed56-41c1-96fc-9067a8e55c3a,property_city_state_zip,Property City State Zip,0a8f2f57-4417-4f9c-a9dc-bbd456d2f49e,1,52.72,213.32,382.98,14.11,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
37,FARM AND RANCH CONTRACT,dc68b037-4f8e-4425-8dc7-6d734b677897,CONTRACT_INTERMEDIARY_BUYER_ASSOCIATE_LICENSE_NUMBER,Intermediary Buyer Associate License Number,0aa56d2c-e5ff-4d28-afc6-07b0c8c7cfd4,11,410.39,554.64,100,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=1; cap=1; underlineDerived=false
18,Residential Lease,d513cd51-f46e-4d79-b4e5-01c3fea57c19,txr_2001_landlord_name,Landlord owner name,0abe91bc-1217-46db-aac8-d9802a59f683,1,254,140,322,16,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
37,FARM AND RANCH CONTRACT,f44a3aca-5e54-444a-9b42-cb0266ce2aae,contract_survey_option_2_days,Survey Option 2 Days,0addd194-a7a3-49b7-861b-84043a62b68c,3,120.26,266.19,45,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
5,TILA-RESPA,de949694-58ee-4775-a99e-f68f48a8e30b,brokerage_fax,Brokerage Fax,0b82073d-77bf-423c-9be6-cd8086e5d877,1,352.83,339.75,145,14,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
1,Buyer Rep Agreement,e0a0835e-6f9f-457f-9c61-93bdb0e951cd,buyer_rep_agreement_between,Buyer/Tenant Representation Agreement between,0b84f380-5327-4cf2-a86d-9a6461cff74e,5,248.6,26.98,330,12,10,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
47,RESIDENTIAL LEASING AND PROPERTY MANAGEMENT AGREEMENT,0c09c53f-b46c-4288-8d71-fd65480c18a6,lease_other_broker_all_rents_percent,Lease Other Broker All Rents Percent,0bcac1fb-fb97-40e9-81d4-ae10a1ed492b,10,103,397.6,29,14,9,false,false,false,false,LEAVE UNCHANGED,Appears to be a normal single-line value placement.,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
37,FARM AND RANCH CONTRACT,34860abd-3179-4c7c-9f26-da59a031a379,txr_1701_surface_oral_leases_description,Oral Surface Lease Description,0be8dfdc-ab94-4e2f-869b-41bc5ac2a192,2,86.57,200.08,476.64,11.55,9,false,true,false,false,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,true,Height 11.55pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Enlarging may approach amount columns or following rows — review carefully.,REVIEW REQUIRED,lines=1; cap=1; underlineDerived=false
37,FARM AND RANCH CONTRACT,1ff64dc0-48bb-4c01-9840-2fbc9c377212,CONTRACT_SELLER_NAMES,Contract Seller Names,0bfba032-e382-4fdc-92d4-04e79db2b9e8,1,277.02,65.81,165,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
25,Condominium Resale Certificate,0bddbdd1-2775-42e1-931e-3360d65e48a0,condo_resale_reserves_designated_amount,Reserves Designated Amount,0c22a388-7fbb-4193-a2c7-9c6e21c4d362,1,436,321,110,12,9,false,false,false,false,LEAVE UNCHANGED,Normally single-line value (amount/date/name/address/code field).,false,,Low — no mask recommended.,LEAVE UNCHANGED,lines=0; cap=1; underlineDerived=false
