Review Number,Form ID,Form Name,Form Version / Revision,Form Ownership,Page,Field ID,Field Key,Field Label,Mapping ID,Field Type,Source Type,Source Path,X,Y,Width,Height,Font Size,Current Multiline,Audit Recommended Multiline,Lee Approves Multiline,Current Mask,Audit Recommended Mask,Lee Approves Mask,Dimension Review Recommended,Lee Approves Dimension Review,Confidence,Audit Reason,Surrounding Content Risk,Dimension Notes,Existing Notes,Lee Notes,Review Status,Visual Reference
13,30,ADDENDUM FOR SALE OF OTHER PROPERTY BY BUYER,TXR-1908-12-05-2011,GLOBAL,1,d5d0fd48-69d4-4a63-a2b5-c0cfdc604eff,txr_1908_buyer_other_property_address,TXR-1908 Buyer Other Property Address,dda3b0d5-f35a-41c2-847b-84240ed8f1b8,text,manual_only,,70,223,480,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-30.pdf#page=1
14,30,ADDENDUM FOR SALE OF OTHER PROPERTY BY BUYER,TXR-1908-12-05-2011,GLOBAL,1,f69d76d5-9af6-4b9c-86d2-512d563a7860,txr_1908_waiver_days_after_notice,TXR-1908 Waiver Days After Seller Notice,c54302fe-b824-45b0-ae01-fdb5a77b96d4,number,manual_only,,146.25,332.92,88.53,12.19,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 12.19pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-30.pdf#page=1
15,30,ADDENDUM FOR SALE OF OTHER PROPERTY BY BUYER,TXR-1908-12-05-2011,GLOBAL,1,238e9b3c-e947-4db1-9b52-8489644066d5,txr_1908_additional_earnest_money,TXR-1908 Additional Earnest Money,9cca3c75-5d14-4965-b768-3e2486168c7b,text / currency,manual_only,,506.57,364.36,60.94,13.47,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 13.47pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-30.pdf#page=1
16,31,ADDENDUM REGARDING FIXTURE LEASES,TXR-1954-11-07-2022,GLOBAL,1,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,2fc78990-e721-40ab-bb89-8a01bba13730,text,packet_property,full_address,244.89,120,330.38,11.55,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 11.55pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-31.pdf#page=1
17,31,ADDENDUM REGARDING FIXTURE LEASES,TXR-1954-11-07-2022,GLOBAL,1,8057046e-0a57-41cb-b51d-02d3ec3a2f55,txr_1954_fixture_other_description,TXR-1954 Other Fixture Description,b4121ac3-4b55-4033-87da-0f2212bd0f78,text,manual_only,,494.74,186.97,70,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-31.pdf#page=1
18,31,ADDENDUM REGARDING FIXTURE LEASES,TXR-1954-11-07-2022,GLOBAL,1,fb52928e-54f8-4236-a1a4-476c45b2603f,txr_1954_assume_cost_buyer_first,TXR-1954 Buyer First Cost to Assume,575de9c9-0b97-4748-8e9f-b37b7a9cd504,text / currency,manual_only,,482.9,247.95,90,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-31.pdf#page=1
19,31,ADDENDUM REGARDING FIXTURE LEASES,TXR-1954-11-07-2022,GLOBAL,1,cc209da0-62c2-443f-9b47-dc8d9ac831ec,txr_1954_assume_other_lease_description,TXR-1954 Other Assumed Lease Description,c51713bc-0425-4878-9eae-83bd33e11649,text,manual_only,,103.34,249.49,200,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-31.pdf#page=1
20,31,ADDENDUM REGARDING FIXTURE LEASES,TXR-1954-11-07-2022,GLOBAL,1,52a7e2fd-67cc-4774-880b-afddf746c5b4,txr_1954_oral_leases_description,TXR-1954 Oral Fixture Lease Description,85a5e708-61fa-4e71-9031-b9ae02f109c0,text,manual_only,,85.39,461.95,480.16,21.03,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 21.03pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-31.pdf#page=1
21,32,ADDENDUM REGARDING RESIDENTIAL LEASES,TXR-1953-11-07-2022,GLOBAL,1,9e2d6525-3f8c-46db-a306-49e7ac5c7051,PROPERTY_FULL_ADDRESS,Property Full Address,dd6f0b15-f183-4d68-9356-e2fad256793a,text,packet_property,full_address,242.95,98,331.91,13.85,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 13.85pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-32.pdf#page=1
22,32,ADDENDUM REGARDING RESIDENTIAL LEASES,TXR-1953-11-07-2022,GLOBAL,1,a3be4d0b-535d-4705-bbe0-d9d1e685e4d0,txr_1953_terminate_within_days,TXR-1953 Terminate Within Days After Receiving Leases,00750a2c-e6d9-4225-b6ab-1ac268be15f5,number,manual_only,,81.16,292.51,45,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-32.pdf#page=1
23,32,ADDENDUM REGARDING RESIDENTIAL LEASES,TXR-1953-11-07-2022,GLOBAL,1,ae5e8711-68cd-4adf-b884-3620ec4a0c54,txr_1953_oral_leases_description,TXR-1953 Oral Residential Lease Description,958c8640-3f2d-41e4-96a9-d3297af2f429,text,manual_only,,95.65,329.34,480.16,17.44,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 17.44pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-32.pdf#page=1
24,32,ADDENDUM REGARDING RESIDENTIAL LEASES,TXR-1953-11-07-2022,GLOBAL,1,a7c86e61-2d1d-47cc-ac7f-f5b82356873b,txr_1953_representations_exceptions_explain,TXR-1953 B(3) Exceptions Explanation,77d2de06-437f-465b-8f5b-5e1e738b13e5,text,manual_only,,76.03,478.68,500.17,33.86,9,false,true,,false,false,,false,,MEDIUM CONFIDENCE,Narrative field with ~2-line capacity; mask not recommended without line evidence.,Low — no mask recommended.,,Batch addenda 28–32 initial production Draft placement (approximate) | lines=0; cap=2; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-32.pdf#page=1
25,33,AMENDMENT TO BUYER/TENANT REPRESENTATION AGREEMENT,TXR-1505-08-23-2024,GLOBAL,1,a98b7ca6-dc95-4d26-b9e0-0e26627e9ab4,txr_1505_paragraph_numbers,TXR-1505 G Paragraph Numbers,c4513761-20dd-46da-86ff-c5c052092f1c,text,manual_only,,144.75,529,73.77,11.55,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 11.55pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch forms 33–37 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-33.pdf#page=1
26,33,AMENDMENT TO BUYER/TENANT REPRESENTATION AGREEMENT,TXR-1505-08-23-2024,GLOBAL,1,26afb280-da67-4d4a-8b64-e41f5a6eb892,txr_1505_paragraph_changes_text,TXR-1505 G Paragraph Changes Text,05d1b59e-cb40-4593-b032-1fb85be91ad6,text,manual_only,,70.64,553.55,480,50,9,false,true,,false,false,,false,,MEDIUM CONFIDENCE,Tall narrative box (~4 lines) without conclusive line geometry; multiline recommended; mask only after visual confirm of printed lines.,Low — no mask recommended.,,Batch forms 33–37 initial production Draft placement (approximate) | lines=0; cap=4; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-33.pdf#page=1
27,14,Amendment to Contract,TXR-1903-05-04-2026,GLOBAL,1,180292fc-6596-4648-8225-348abb211d9a,contract_amend_repairs_text,Amendment Repairs Text,945ac30a-a9d3-4158-ab67-6e5579ec2cf8,text,manual_only,,197.73,213.68,356.68,35.28,9,false,true,,false,true,,false,,HIGH CONFIDENCE,Narrative multi-line area (~3 lines). Preprinted writing lines/underlines indicated in placement (geometry hits=3).,"White mask must stay inside the placement box so adjacent amount columns, row labels, and borders remain visible.",,TREC 39-11 / TXR 1903 Amendment to Contract first-pass placement | lines=3; cap=3; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-14.pdf#page=1
28,14,Amendment to Contract,TXR-1903-05-04-2026,GLOBAL,1,7e2eff40-95de-44e7-bee0-1625d9ba166e,contract_amend_other_modifications_text,Amendment Other Modifications Text,fc5dedba-84a4-46d2-a3f6-167ae8eb3707,text,manual_only,,72.64,457.17,490,35,9,false,false,,false,false,,false,,REVIEW REQUIRED,Tall placement without clear narrative purpose — visual review before enabling multiline.,Low — no mask recommended.,,TREC 39-11 / TXR 1903 Amendment to Contract first-pass placement | lines=3; cap=3; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-14.pdf#page=1
29,34,AMENDMENT TO FARM AND RANCH LISTING - EXCLUSIVE RIGHT TO SELL,TXR-1422-06-15-2026,GLOBAL,1,e611d75f-49a5-4548-80dd-68eb71e781d0,txr_1422_paragraph_numbers,TXR-1422 F Paragraph Numbers,26f356cd-8615-45c4-b7c2-483e98c66c19,text,manual_only,,141.55,469,100,14,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch forms 33–37 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-34.pdf#page=1
30,34,AMENDMENT TO FARM AND RANCH LISTING - EXCLUSIVE RIGHT TO SELL,TXR-1422-06-15-2026,GLOBAL,1,28f37985-19f4-4401-a7e4-46024c6bc275,txr_1422_paragraph_changes_text,TXR-1422 F Paragraph Changes Text,87f3978b-2c19-4772-9e40-29f889a7d6ba,text,manual_only,,70,494,480,40,9,false,true,,false,false,,false,,MEDIUM CONFIDENCE,Tall narrative box (~3 lines) without conclusive line geometry; multiline recommended; mask only after visual confirm of printed lines.,Low — no mask recommended.,,Batch forms 33–37 initial production Draft placement (approximate) | lines=0; cap=3; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-34.pdf#page=1
31,16,Amendment to Lease Listing,TXR-1423-06-15-2026,GLOBAL,1,f4d0aab2-ca64-4f66-b99f-dd3b97d8701a,lease_listing_amend_paragraph_numbers,Lease Listing Amend Paragraph Numbers,a4f69a59-03e3-4510-95f1-726882c175d5,text,manual_only,,143.79,508,91.83,12.31,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 12.31pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,TXR-1423 lease listing amendment first-pass placement | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-16.pdf#page=1
32,16,Amendment to Lease Listing,TXR-1423-06-15-2026,GLOBAL,1,63f30fd5-6a3d-43ee-9a0c-8efb1221cac6,lease_listing_amend_paragraph_changes,Lease Listing Amend Paragraph Changes,577c03df-6fa5-45b2-9f3c-d0dc81f77e18,text,manual_only,,87.39,526.23,485,35,9,false,true,,false,false,,false,,MEDIUM CONFIDENCE,Tall narrative box (~3 lines) without conclusive line geometry; multiline recommended; mask only after visual confirm of printed lines.,Low — no mask recommended.,,TXR-1423 lease listing amendment first-pass placement | lines=0; cap=3; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-16.pdf#page=1
33,13,Amendment to Listing Agreement,TXR-1404-06-15-2026,GLOBAL,1,3e1f2d33-b260-493e-96e9-d09066f3d400,listing_amendment_paragraph_numbers,Paragraph Numbers Changed,a2f2c017-5bfe-4127-a13f-32e5cd511815,text,manual_only,,142.02,472.87,91.09,14.11,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 14.11pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,TXR-1404 Amendment to Residential Listing estimated placement | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-13.pdf#page=1
34,13,Amendment to Listing Agreement,TXR-1404-06-15-2026,GLOBAL,1,75a5692a-6695-45bd-9182-41e39b684dc1,listing_amendment_paragraph_changes,Paragraph Changes,8aa0193a-49e5-4179-94f7-cbcad7446111,text,manual_only,,74.57,495.45,485,42,9,false,true,,false,false,,false,,MEDIUM CONFIDENCE,Tall narrative box (~3 lines) without conclusive line geometry; multiline recommended; mask only after visual confirm of printed lines.,Low — no mask recommended.,,TXR-1404 Amendment to Residential Listing estimated placement | lines=0; cap=3; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-13.pdf#page=1
35,35,ANIMAL AGREEMENT,TXR-2004-01-05-2026,GLOBAL,2,8da824b1-58c2-4c65-bf69-946ece78e257,txr_2004_bitten_explain,TXR-2004 E(1) Bitten/Injured Explain,8fbf7857-c704-49f1-8eee-7a853c562ecf,text,manual_only,,70,505.43,480,20,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 20pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch forms 33–37 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-35.pdf#page=2
36,35,ANIMAL AGREEMENT,TXR-2004-01-05-2026,GLOBAL,2,ff353828-4fd0-4b66-a90f-8a3fc0312b0b,txr_2004_propensity_explain,TXR-2004 E(2) Propensity Explain,b45f2fb6-fe24-4665-b293-86427d7dab95,text,manual_only,,70,571,480,20,9,false,true,,false,false,,true,,REVIEW REQUIRED,Narrative purpose but current height is ~1 line — dimension increase may be needed to cover the printed writing area.,Enlarging may approach amount columns or following rows — review carefully.,Height 20pt ≈ 1 line(s). Expand only after confirming intended lined region on the PDF.,Batch forms 33–37 initial production Draft placement (approximate) | lines=0; cap=1; underlineDerived=false,,Not Reviewed,_audit_tmp/prod-multiline-mask-audit/pdfs/form-35.pdf#page=2
